conf0-8-./str00,0,-361.64352149,0.825532
conf1-7-./str00,.125,-361.87443079,0.768838
conf1-7-./str01,.125,-361.81982112,0.766491
conf2-6-./batchseries00/batch00-01,.250,-362.23541220,0.801828
conf2-6-./batchseries00/batch00-02,.250,-361.99115303,0.734334
conf2-6-./batchseries00/batch00-03,.250,-362.04355873,0.733711
conf2-6-./batchseries00/batch00-04,.250,-362.19232616,0.797343
conf2-6-./batchseries00/batch00-05,.250,-362.12968891,0.802751
conf2-6-./batchseries00/batch00-06,.250,-361.89664227,0.66889
conf2-6-./batchseries00/batch00-07,.250,-362.03085437,0.735752
conf2-6-./batchseries00/batch00-08,.250,-362.05612424,0.804482
conf2-6-./batchseries00/batch00-09,.250,-361.95204465,0.740977
conf2-6-./batchseries00/batch00-10,.250,-361.99064669,0.731199
conf3-5-./batchseries00/batch00-01,.375,-362.06012152,0.711317
conf3-5-./batchseries00/batch00-02,.375,-362.28064223,0.733115
conf3-5-./batchseries00/batch00-03,.375,-362.40914142,0.747745
conf3-5-./batchseries00/batch00-04,.375,-362.43005280,0.818523
conf3-5-./batchseries00/batch00-05,.375,-362.35447923,0.738605
conf3-5-./batchseries00/batch00-06,.375,-362.31783500,0.751612
conf3-5-./batchseries00/batch00-07,.375,-362.35514520,0.750061
conf3-5-./batchseries00/batch00-08,.375,-362.27045907,0.755086
conf3-5-./batchseries00/batch00-09,.375,-362.37816913,0.748362
conf3-5-./batchseries00/batch00-10,.375,-362.18148024,0.631995
conf3-5-./batchseries00/batch01-01,.375,-362.36582187,0.803474
conf3-5-./batchseries00/batch01-02,.375,-362.36698212,0.747139
conf3-5-./batchseries00/batch01-03,.375,-362.37829178,0.753929
conf3-5-./batchseries00/batch01-04,.375,-362.40571825,0.824274
conf3-5-./batchseries00/batch01-05,.375,-362.42909167,0.810552
conf3-5-./batchseries00/batch01-06,.375,-362.00999396,0.651931
conf3-5-./batchseries00/batch01-07,.375,-362.44900715,0.825822
conf3-5-./batchseries00/batch01-08,.375,-362.08501195,0.710301
conf3-5-./batchseries00/batch01-09,.375,-362.32447692,0.818426
conf3-5-./batchseries00/batch01-10,.375,-361.95691855,0.647143
conf3-5-./batchseries00/batch02-01,.375,-362.37313127,0.789224
conf3-5-./batchseries00/batch02-02,.375,-362.28947413,0.736119
conf3-5-./batchseries00/batch02-03,.375,-362.06344276,0.659173
conf3-5-./batchseries00/batch02-04,.375,-362.37917692,0.750085
conf3-5-./batchseries00/batch02-05,.375,-362.33572671,0.743298
conf3-5-./batchseries00/batch02-06,.375,-362.42125874,0.828859
conf3-5-./batchseries00/batch02-07,.375,-362.29867678,0.746052
conf3-5-./batchseries00/batch02-08,.375,-362.30266260,0.746678
conf3-5-./batchseries00/batch02-09,.375,-362.43617286,0.795711
conf3-5-./batchseries00/batch02-10,.375,-362.38821364,0.7906
conf3-5-./batchseries00/batch03-01,.375,-362.32814214,0.746466
conf3-5-./batchseries00/batch03-02,.375,-362.03244946,0.654604
conf3-5-./batchseries00/batch03-03,.375,-362.35277626,0.753082
conf3-5-./batchseries00/batch03-04,.375,-362.40705609,0.815125
conf3-5-./batchseries00/batch03-05,.375,-362.07093158,0.708518
conf3-5-./batchseries00/batch03-06,.375,-362.45865520,0.797674
conf3-5-./batchseries00/batch03-07,.375,-362.31421552,0.74336
conf3-5-./batchseries00/batch03-08,.375,-362.34223516,0.74711
conf3-5-./batchseries00/batch03-09,.375,-362.39434497,0.809788
conf3-5-./batchseries00/batch03-10,.375,-362.36642134,0.831919
conf3-5-./batchseries00/batch04-01,.375,-362.42615671,0.80515
conf3-5-./batchseries00/batch04-02,.375,-362.11246388,0.711695
conf3-5-./batchseries00/batch04-03,.375,-362.33209505,0.749897
conf3-5-./batchseries00/batch04-04,.375,-362.33352345,0.741077
conf3-5-./batchseries00/batch04-05,.375,-362.36067043,0.80706
conf3-5-./batchseries00/batch04-06,.375,-362.39036009,0.821561
conf3-5-./batchseries00/batch04-07,.375,-362.38695412,0.808999
conf3-5-./batchseries00/batch04-08,.375,-362.30392026,0.750195
conf3-5-./batchseries00/batch04-09,.375,-362.34724732,0.749215
conf3-5-./batchseries00/batch04-10,.375,-362.33368680,0.750833
conf4-4-./batchseries00/batch00-01,.500,-362.51224885,0.777719
conf4-4-./batchseries00/batch00-02,.500,-362.43749392,0.680445
conf4-4-./batchseries00/batch00-03,.500,-362.50746225,0.714725
conf4-4-./batchseries00/batch00-04,.500,-362.36682503,0.722619
conf4-4-./batchseries00/batch00-05,.500,-362.63304661,0.882048
conf4-4-./batchseries00/batch00-06,.500,-362.58200752,0.805902
conf4-4-./batchseries00/batch00-07,.500,-362.64264686,0.794439
conf4-4-./batchseries00/batch00-08,.500,-362.76056425,0.867836
conf4-4-./batchseries00/batch00-09,.500,-362.40517114,0.709951
conf4-4-./batchseries00/batch00-10,.500,-362.06416936,0.650973
conf4-4-./batchseries00/batch01-01,.500,-362.53754454,0.739356
conf4-4-./batchseries00/batch01-02,.500,-362.49142303,0.770215
conf4-4-./batchseries00/batch01-03,.500,-362.46844211,0.698032
conf4-4-./batchseries00/batch01-04,.500,-362.45167271,0.753369
conf4-4-./batchseries00/batch01-05,.500,-362.64850899,0.794467
conf4-4-./batchseries00/batch01-06,.500,-362.76448689,0.852209
conf4-4-./batchseries00/batch01-07,.500,-362.43477226,0.762836
conf4-4-./batchseries00/batch01-08,.500,-362.62696780,0.798846
conf4-4-./batchseries00/batch01-09,.500,-362.59369440,0.795102
conf4-4-./batchseries00/batch01-10,.500,-362.69737963,0.796635
conf4-4-./batchseries01/batch00-01,.500,-362.23816061,0.656796
conf4-4-./batchseries01/batch00-02,.500,-362.47232086,0.769664
conf4-4-./batchseries01/batch00-03,.500,-362.56179813,0.807115
conf4-4-./batchseries01/batch00-04,.500,-362.11282717,0.645583
conf4-4-./batchseries01/batch00-05,.500,-362.66985607,0.850301
conf4-4-./batchseries01/batch00-06,.500,-362.55306659,0.755613
conf4-4-./batchseries01/batch00-07,.500,-362.65534109,0.82789
conf4-4-./batchseries01/batch00-08,.500,-362.49368305,0.699642
conf4-4-./batchseries01/batch00-09,.500,-362.64818188,0.819752
conf4-4-./batchseries01/batch00-10,.500,-362.60338679,0.79165
conf4-4-./batchseries01/batch01-01,.500,-362.45306096,0.762717
conf4-4-./batchseries01/batch01-02,.500,-362.57459749,0.804641
conf4-4-./batchseries01/batch01-03,.500,-362.38848782,0.711522
conf4-4-./batchseries01/batch01-04,.500,-362.56059523,0.765731
conf4-4-./batchseries01/batch01-05,.500,-362.41624306,0.753631
conf4-4-./batchseries01/batch01-06,.500,-362.59607101,0.785574
conf4-4-./batchseries01/batch01-07,.500,-362.47046922,0.757845
conf4-4-./batchseries01/batch01-08,.500,-362.53152006,0.825835
conf4-4-./batchseries01/batch01-09,.500,-362.65762242,0.811478
conf4-4-./batchseries01/batch01-10,.500,-362.63782667,0.879966
conf4-4-./batchseries02/batch00-01,.500,-362.53559748,0.772004
conf4-4-./batchseries02/batch00-02,.500,-362.73518949,0.877307
conf4-4-./batchseries02/batch00-03,.500,-362.77124456,0.857271
conf4-4-./batchseries02/batch00-04,.500,-362.59740992,0.784615
conf4-4-./batchseries02/batch00-05,.500,-362.54117909,0.747079
conf4-4-./batchseries02/batch00-06,.500,-362.66000813,0.850157
conf4-4-./batchseries02/batch00-07,.500,-362.57699763,0.799914
conf4-4-./batchseries02/batch00-08,.500,-362.54802117,0.788466
conf4-4-./batchseries02/batch00-09,.500,-362.55574823,0.771838
conf4-4-./batchseries02/batch00-10,.500,-362.52927156,0.751328
conf4-4-./batchseries02/batch01-01,.500,-362.54228611,0.817042
conf4-4-./batchseries02/batch01-02,.500,-362.67742185,0.805073
conf4-4-./batchseries02/batch01-03,.500,-362.79956414,0.831688
conf4-4-./batchseries02/batch01-04,.500,-362.55646665,0.829339
conf4-4-./batchseries02/batch01-05,.500,-362.74792917,0.879447
conf4-4-./batchseries02/batch01-06,.500,-362.06540702,0.641053
conf4-4-./batchseries02/batch01-07,.500,-362.26655364,0.714447
conf4-4-./batchseries02/batch01-08,.500,-362.59524529,0.825213
conf4-4-./batchseries02/batch01-09,.500,-362.43184275,0.683256
conf4-4-./batchseries02/batch01-10,.500,-362.37125632,0.763276
conf4-4-./batchseries03/batch00-01,.500,-362.42249077,0.748463
conf4-4-./batchseries03/batch00-02,.500,-361.84289000,0.547069
conf4-4-./batchseries03/batch00-03,.500,-362.51996130,0.757715
conf4-4-./batchseries03/batch00-04,.500,-361.96399349,0.608897
conf4-4-./batchseries03/batch00-05,.500,-362.54299515,0.784599
conf4-4-./batchseries03/batch00-06,.500,-362.56053558,0.766262
conf4-4-./batchseries03/batch00-07,.500,-362.35787625,0.644021
conf4-4-./batchseries03/batch00-08,.500,-362.65678783,0.800756
conf4-4-./batchseries03/batch00-09,.500,-362.36682205,0.715205
conf4-4-./batchseries03/batch00-10,.500,-362.61873502,0.753431
conf4-4-./batchseries03/batch01-01,.500,-362.42809234,0.766734
conf4-4-./batchseries03/batch01-02,.500,-362.51715455,0.796974
conf4-4-./batchseries03/batch01-03,.500,-362.30460012,0.669419
conf4-4-./batchseries03/batch01-04,.500,-362.42012026,0.68783
conf4-4-./batchseries03/batch01-05,.500,-362.33931741,0.656828
conf4-4-./batchseries03/batch01-06,.500,-362.59036768,0.78833
conf4-4-./batchseries03/batch01-07,.500,-362.44040179,0.727581
conf4-4-./batchseries03/batch01-08,.500,-362.67709954,0.859982
conf4-4-./batchseries03/batch01-09,.500,-362.37649324,0.722128
conf4-4-./batchseries03/batch01-10,.500,-362.50810791,0.699725
conf4-4-./batchseries04/batch00-01,.500,-362.53437872,0.74503
